codigo_de_categoria_principal_2;prod;cod_clase;clase
14111530;Papel de notas autoadhesivas;141115;Papel de imprenta y papel de escribir
14111800;Papeles de uso comercial;141115;Papel de imprenta y papel de escribir
15101506;Gasolina;151015;Petróleo y Destilados
22101527;Transportes integrados de carga;221015;Maquinaria para trabajo de desmonte
25174201;Sacos de dirección ;251742;Sistema de dirección
25191513;Kit de mantenimiento de vehículo de soporte en tierra;251915;Sistemas y equipo de apoyo para transporte aéreo
26111700;Baterías, pilas y accesorios ;261117;Baterías, pilas y accesorios
26111705;Pilas secas;261117;Baterías, pilas y accesorios
26121500;Alambre eléctrico ;261215;Alambre eléctrico
27141000;Herramientas de carrocería;271410;Herramientas de carrocería
31161800;Arandelas;311618;Arandelas
31162800;Ferretería en general;311628;Ferretería en general
39121321;Ferretería y accesorios de caja eléctrica;391213;Cuadros, registros y menaje para electricidad
40101701;Aires acondicionados;401017;Enfriamiento
40141700;Material de ferretería y accesorios ;401417;Material de ferretería y accesorios
41113637;Medidores de voltaje o de corriente;411136;Equipo de medición y comprobación eléctrica
41113700;Instrumentos de medición y comprobación de comunicación electrónica;411137;Instrumentos de medición y comprobación de comunicación electrónica
42172002;Kits de primera respuesta para servicios médicos de emergencia;421720;Kits para los servicios médicos de urgencias y campo
43201807;Unidades de cintas;432018;Dispositivos de almacenamiento
43211500;Computadores;432115;Computadores
43222800;Equipo de telefonía;432228;Equipo de telefonía
43231500;Software funcional específico de la empresa ;432315;Software funcional específico de la empresa
43231507;Software de manejo de proyectos;432315;Software funcional específico de la empresa
43231511;Software de sistemas expertos;432315;Software funcional específico de la empresa
43232005;Software de edición de música o sonido;432320;Software de entretenimiento o juegos de computador
43232500;Software educativo o de referencia;432325;Software educativo o de referencia
43233203;Software de manejo de seguridad de red o de redes privadas virtuales vpn;432332;Software de seguridad y protección
44103103;Tóner para impresoras o fax;441031;Suministros para impresora, fax y fotocopiadora
44121700;Instrumentos de escritura;441217;Instrumentos de escritura
45111616;Proyectores de video;451116;Proyectores y suministros
46182000;Protección de la respiración ;461820;Protección de la respiración
52151701;Utensilios para servir para uso doméstico;521517;Cubertería y cuchillería de uso doméstico
53101900;Trajes;531019;Trajes
53102700;Uniformes;531027;Uniformes
55101500;Publicaciones impresas;551015;Publicaciones impresas
55121715;Banderas o accesorios;551217;Señalización
56101522;Sillas de brazos;561015;Muebles
60101600;Diplomas o certificados educativos;601016;Diplomas o certificados educativos
60103502;Libros de recursos o actividades del gobierno;601035;Ciencias políticas
60105409;Materiales de enseñanza  de publicidad o comercialización de marcas;601054;Materiales educativos de vida independiente, administración del dinero y economía doméstica
60131000;Instrumentos de teclado ;601310;Instrumentos de teclado
60141100;Juegos;601411;Juegos
70111700;Parques, jardines y huertos;701117;Parques, jardines y huertos
70151904;Silvicultura;701519;Recursos forestales
72101500;Servicios de apoyo para la construcción;721015;Servicios de apoyo para la construcción
72101501;Servicios de todero;721015;Servicios de apoyo para la construcción
72101506;Servicios de mantenimiento de ascensores;721015;Servicios de apoyo para la construcción
72101507;Servicio de mantenimiento de edificios;721015;Servicios de apoyo para la construcción
72101511;Servicio de instalación o mantenimiento o reparación de aires acondicionados;721015;Servicios de apoyo para la construcción
72102103;Servicios de exterminación o fumigación;721021;Control de plagas
72102105;Captura de animales;721021;Control de plagas
72102900;Servicios de mantenimiento y reparación de instalaciones;721029;Servicios de mantenimiento y reparación de instalaciones
72103300;Servicios de mantenimiento y reparación de infraestructura;721033;Servicios de mantenimiento y reparación de infraestructura
72121400;Servicios de construcción de edificios públicos especializados;721214;Servicios de construcción de edificios públicos especializados
72151003;Servicio de mantenimiento y reparación de sistemas de calefacción;721510;Servicios de construcción y mantenimiento de calderas y hornos
